County,Confirmed,Deaths,Date
Snohomish,200,4,2020-03-17
Spokane,3,0,2020-03-17
Thurston,4,0,2020-03-17
Whatcom,3,0,2020-03-17
Yakima,4,0,2020-03-17
Unassigned,126,0,2020-03-17
Total,904,48,2020-03-17
Clark,1,0,2020-03-12
Grant,1,1,2020-03-12
Island,1,0,2020-03-12
Jefferson,1,0,2020-03-12
King,234,26,2020-03-12
Kitsap,2,0,2020-03-12
Kittitas,2,0,2020-03-12
Pierce,17,0,2020-03-12
Skagit,1,0,2020-03-12
Snohomish,68,2,2020-03-12
Thurston,1,0,2020-03-12
Whatcom,1,0,2020-03-12
Unassigned,36,0,2020-03-12
Total,366,29,2020-03-12
Clark,3,0,2020-03-16
Columbia,1,0,2020-03-16
Grant,2,1,2020-03-16
Grays Harbor,1,0,2020-03-16
Island,6,0,2020-03-16
Jefferson,3,0,2020-03-16
King,420,37,2020-03-16
Kitsap,3,0,2020-03-16
Kittitas,3,0,2020-03-16
Lincoln,1,0,2020-03-16
Pierce,29,0,2020-03-16
Skagit,4,0,2020-03-16
Snohomish,176,4,2020-03-16
Spokane,3,0,2020-03-16
Thurston,3,0,2020-03-16
Whatcom,3,0,2020-03-16
Yakima,4,0,2020-03-16
Unassigned,104,0,2020-03-16
Total,769,42,2020-03-16
Clark,1,0,2020-03-13
Grant,1,1,2020-03-13
Grays Harbor,1,0,2020-03-13
Island,3,0,2020-03-13
Jefferson,1,0,2020-03-13
King,270,27,2020-03-13
Kitsap,2,0,2020-03-13
Kittitas,3,0,2020-03-13
Pierce,17,0,2020-03-13
Skagit,2,0,2020-03-13
Snohomish,108,3,2020-03-13
Thurston,1,0,2020-03-13
Whatcom,1,0,2020-03-13
Unassigned,46,0,2020-03-13
Total,457,31,2020-03-13
Adams,1,0,2020-03-23
Benton,7,2,2020-03-23
Chelan,6,0,2020-03-23
Clallam,4,0,2020-03-23
Clark,13,4,2020-03-23
Columbia,1,0,2020-03-23
Cowlitz,3,0,2020-03-23
Douglas,1,0,2020-03-23
Franklin,3,0,2020-03-23
Grant,23,1,2020-03-23
Grays Harbor,1,0,2020-03-23
Island,25,1,2020-03-23
Jefferson,7,0,2020-03-23
King,1170,87,2020-03-23
Kitsap,18,0,2020-03-23
Kittitas,5,0,2020-03-23
Klickitat,4,0,2020-03-23
Lewis,2,0,2020-03-23
Lincoln,1,0,2020-03-23
Mason,1,0,2020-03-23
Pierce,126,1,2020-03-23
San Juan,1,0,2020-03-23
Skagit,45,1,2020-03-23
Snohomish,519,11,2020-03-23
Spokane,29,0,2020-03-23
Stevens,1,0,2020-03-23
Thurston,11,0,2020-03-23
Walla Walla,1,0,2020-03-23
Whatcom,48,2,2020-03-23
Whitman,2,0,2020-03-23
Yakima,25,0,2020-03-23
Unassigned,117, ,2020-03-23
Total,2221,110,2020-03-23
Clark,1,0,2020-03-09
Grant,1,0,2020-03-09
Jefferson,1,0,2020-03-09
King,83,17,2020-03-09
Kittitas,1,0,2020-03-09
Pierce,4,0,2020-03-09
Snohomish,31,1,2020-03-09
Unassigned,14,0,2020-03-09
Total,136,18,2020-03-09
Clark,1,0,2020-03-10
Grant,1,1,2020-03-10
Jefferson,1,0,2020-03-10
King,116,20,2020-03-10
Kitsap,1,0,2020-03-10
Kittitas,1,0,2020-03-10
Pierce,4,0,2020-03-10
Snohomish,37,1,2020-03-10
Total,162,22,2020-03-10
Clark,1,0,2020-03-14
Columbia,1,0,2020-03-14
Grant,1,1,2020-03-14
Grays Harbor,1,0,2020-03-14
Island,3,0,2020-03-14
Jefferson,1,0,2020-03-14
King,328,32,2020-03-14
Kitsap,3,0,2020-03-14
Kittitas,3,0,2020-03-14
Pierce,19,0,2020-03-14
Skagit,3,0,2020-03-14
Snohomish,133,4,2020-03-14
Thurston,1,0,2020-03-14
Whatcom,1,0,2020-03-14
Yakima,2,0,2020-03-14
Unassigned,67,0,2020-03-14
Total,568,37,2020-03-14
Benton,7,2,2020-03-21
Chelan,3,0,2020-03-21
Clallam,2,0,2020-03-21
Clark,9,3,2020-03-21
Columbia,1,0,2020-03-21
Cowlitz,2,0,2020-03-21
Franklin,2,0,2020-03-21
Grant,11,1,2020-03-21
Grays Harbor,1,0,2020-03-21
Island,19,1,2020-03-21
Jefferson,4,0,2020-03-21
King,934,74,2020-03-21
Kitsap,15,0,2020-03-21
Kittitas,4,0,2020-03-21
Klickitat,4,0,2020-03-21
Lewis,2,0,2020-03-21
Lincoln,1,0,2020-03-21
Mason,1,0,2020-03-21
Pierce,95,1,2020-03-21
San Juan,1,0,2020-03-21
Skagit,28,0,2020-03-21
Snohomish,447,10,2020-03-21
Spokane,16,0,2020-03-21
Stevens,1,0,2020-03-21
Thurston,9,0,2020-03-21
Whatcom,14,2,2020-03-21
Yakima,13,0,2020-03-21
Unassigned,147, ,2020-03-21
Total,1793,94,2020-03-21
Adams,1,0,2020-03-24
Benton,12,2,2020-03-24
Chelan,6,0,2020-03-24
Clallam,4,0,2020-03-24
Clark,16,4,2020-03-24
Columbia,1,0,2020-03-24
Cowlitz,3,0,2020-03-24
Douglas,2,0,2020-03-24
Franklin,7,0,2020-03-24
Grant,27,1,2020-03-24
Grays Harbor,1,0,2020-03-24
Island,29,1,2020-03-24
Jefferson,8,0,2020-03-24
King,1277,94,2020-03-24
Kitsap,20,0,2020-03-24
Kittitas,18,0,2020-03-24
Klickitat,6,0,2020-03-24
Lewis,2,0,2020-03-24
Lincoln,1,0,2020-03-24
Mason,2,0,2020-03-24
Pierce,138,1,2020-03-24
San Juan,1,0,2020-03-24
Skagit,48,1,2020-03-24
Snohomish,614,16,2020-03-24
Spokane,33,0,2020-03-24
Stevens,1,0,2020-03-24
Thurston,14,0,2020-03-24
Walla Walla,2,0,2020-03-24
Whatcom,64,2,2020-03-24
Whitman,2,0,2020-03-24
Yakima,44,1,2020-03-24
Unassigned,65, ,2020-03-24
Total,2469,123,2020-03-24
Adams,1,0,2020-03-25
Benton,10,2,2020-03-25
Chelan,10,0,2020-03-25
Clallam,4,0,2020-03-25
Clark,16,4,2020-03-25
Columbia,1,0,2020-03-25
Cowlitz,3,0,2020-03-25
Douglas,2,0,2020-03-25
Ferry,1,0,2020-03-25
Franklin,7,0,2020-03-25
Grant,27,1,2020-03-25
Grays Harbor,1,0,2020-03-25
Island,38,1,2020-03-25
Jefferson,10,0,2020-03-25
King,1359,94,2020-03-25
Kitsap,27,0,2020-03-25
Kittitas,6,0,2020-03-25
Klickitat,6,0,2020-03-25
Lewis,2,0,2020-03-25
Lincoln,1,0,2020-03-25
Mason,2,0,2020-03-25
Okanogan,1,0,2020-03-25
Pierce,155,1,2020-03-25
San Juan,2,0,2020-03-25
Skagit,63,1,2020-03-25
Snohomish,634,16,2020-03-25
Spokane,54,0,2020-03-25
Stevens,2,0,2020-03-25
Thurston,14,0,2020-03-25
Walla Walla,2,0,2020-03-25
Whatcom,66,2,2020-03-25
Whitman,2,0,2020-03-25
Yakima,51,1,2020-03-25
Total,2580,132,2020-03-25
Adams,3,0,2020-03-26
Benton,19,4,2020-03-26
Chelan,10,0,2020-03-26
Clallam,5,0,2020-03-26
Clark,48,5,2020-03-26
Columbia,1,0,2020-03-26
Cowlitz,7,0,2020-03-26
Douglas,5,0,2020-03-26
Ferry,1,0,2020-03-26
Franklin,7,0,2020-03-26
Grant,33,1,2020-03-26
Grays Harbor,1,0,2020-03-26
Island,64,1,2020-03-26
Jefferson,11,0,2020-03-26
King,1577,109,2020-03-26
Kitsap,33,0,2020-03-26
Kittitas,8,0,2020-03-26
Klickitat,7,0,2020-03-26
Lewis,5,0,2020-03-26
Lincoln,1,0,2020-03-26
Mason,2,0,2020-03-26
Okanogan,1,0,2020-03-26
Pierce,186,4,2020-03-26
San Juan,2,0,2020-03-26
Skagit,78,1,2020-03-26
Snohomish,778,16,2020-03-26
Spokane,67,0,2020-03-26
Stevens,2,0,2020-03-26
Thurston,24,0,2020-03-26
Walla Walla,2,0,2020-03-26
Whatcom,86,4,2020-03-26
Whitman,3,0,2020-03-26
Yakima,61,2,2020-03-26
Unassigned,69, ,2020-03-26
Total,3207,147,2020-03-26
Adams,5,0,2020-03-27
Benton,42,5,2020-03-27
Chelan,13,1,2020-03-27
Clallam,5,0,2020-03-27
Clark,76,6,2020-03-27
Columbia,1,0,2020-03-27
Cowlitz,7,0,2020-03-27
Douglas,5,0,2020-03-27
Ferry,1,0,2020-03-27
Franklin,12,0,2020-03-27
Grant,42,1,2020-03-27
Grays Harbor,1,0,2020-03-27
Island,79,1,2020-03-27
Jefferson,11,0,2020-03-27
King,1828,125,2020-03-27
Kitsap,42,1,2020-03-27
Kittitas,8,0,2020-03-27
Klickitat,7,0,2020-03-27
Lewis,7,0,2020-03-27
Lincoln,1,0,2020-03-27
Mason,2,0,2020-03-27
Okanogan,2,0,2020-03-27
Pierce,231,5,2020-03-27
San Juan,3,0,2020-03-27
Skagit,91,1,2020-03-27
Skamania,1,0,2020-03-27
Snohomish,913,23,2020-03-27
Spokane,86,0,2020-03-27
Stevens,3,0,2020-03-27
Thurston,27,0,2020-03-27
Walla Walla,2,0,2020-03-27
Whatcom,92,4,2020-03-27
Whitman,5,0,2020-03-27
Yakima,72,2,2020-03-27
Unassigned,45, ,2020-03-27
Total,3723,175,2020-03-27
Adams,5,0,2020-03-27
Benton,56,5,2020-03-27
Chelan,13,1,2020-03-27
Clallam,5,0,2020-03-27
Clark,82,6,2020-03-27
Columbia,1,0,2020-03-27
Cowlitz,10,0,2020-03-27
Douglas,5,0,2020-03-27
Ferry,1,0,2020-03-27
Franklin,16,0,2020-03-27
Grant,44,1,2020-03-27
Grays Harbor,1,0,2020-03-27
Island,92,1,2020-03-27
Jefferson,13,0,2020-03-27
King,2077,136,2020-03-27
Kitsap,49,0,2020-03-27
Kittitas,8,0,2020-03-27
Klickitat,7,0,2020-03-27
Lewis,7,0,2020-03-27
Lincoln,1,0,2020-03-27
Mason,2,0,2020-03-27
Okanogan,3,0,2020-03-27
Pierce,282,5,2020-03-27
San Juan,4,0,2020-03-27
Skagit,97,3,2020-03-27
Skamania,1,0,2020-03-27
Snohomish,912,23,2020-03-27
Spokane,108,2,2020-03-27
Stevens,3,0,2020-03-27
Thurston,33,0,2020-03-27
Walla Walla,4,0,2020-03-27
Whatcom,102,4,2020-03-27
Whitman,6,0,2020-03-27
Yakima,100,2,2020-03-27
Unassigned,160, ,2020-03-27
Total,4300,175,2020-03-27
